ISO_3 country name,Country name,Income group,WHO Region,Year reported fatalities,Reported fatalities gender distribution  (% Males),Reported fatalities gender distribution  (%Females),Reported fatalities user distribution  (% powered light vehicles),Reported fatalities user distribution  (% powered 2/ wheelers),Reported fatalities user distribution  (% pedestrian),Reported fatalities user distribution  (% cyclist),Reported fatalities user distribution  (% other),WHO-estimated rate per 100 000 population,Total paved kilometres (year),Year total paved kilometres,Total registered vehicles ,Total registered vehicles rate per 100 000 pop,Cars and 4-wheeled light vehicles ,Powered 2- and 3-wheelers ,Heavy trucks ,Buses ,Year total registered vehicles,Year by fatality reduction target ,Adherence to one or more of the 7 UN road safety conventions,Legislation setting appropriate urban speed limits for passenger cars and motorcycles,Legislation on drink driving,Legislation requiring adult motorcycle riders to wear a helmet properly fastened that meets appropriate standards,Legislation on the use of seat belts for all motor vehicle occupants (UNVTI 8a),Legislation requiring the use of child safety restraint systems that meet appropriate standards,2010 WHO-estimated rate per 100 000 population (update),2016 WHO-estimated rate per 100 000 population (update)
TGO,Togo,Low income,African Region,2021,79.0,20.74,11.47,59.56,22.65,0.0,6.32,22.7,9.373988663504516,2021.0,11.450464783627623,1086.707440945333,9.919065582499446,11.087726927171675,7.2305631534092925,4.624972813284271,2021.0,2030.0,1,1,2,2,3,1,23.4,20.9
TTO,Trinidad and Tobago,High income,Region of the Americas,2021,15.0,85.0,44.0,11.0,39.0,1.0,5.0,5.0,9.173572647783969,2020.0,13.750055350131142,61392.32582818092,14.328842438443496,12.406541047805165,11.469882255377264,9.864018808625762,2021.0,2030.0,1,2,2,2,2,2,16.6,9.5
TUN,Tunisia,Lower middle income,Eastern Mediterranean Region,2019,84.12,15.88,35.11,32.74,28.11,2.07,1.9699999999999998,16.3,9.719985298994011,2021.0,14.660240409551882,18978.70218135185,14.543128728039395,10.023933705611995,11.109997136514034,10.08334774933398,2021.0,2030.0,7,3,3,2,3,1,21.9,24.4
TUR,Türkiye,Upper middle income,European Region,2021,77.0,23.0,46.7,16.4,22.05,2.5,12.35,6.5,11.08512271914035,2022.0,17.044301861593166,29783.54311351911,16.433349066525622,15.135764203550686,13.69481528586084,13.449779012248966,2021.0,2030.0,5,3,2,2,3,3,7.2,9.3
UGA,Uganda,Low income,African Region,2021,81.0,19.0,14.04,46.11,33.27,4.3,2.28,16.0,8.656259239539235,2022.0,14.145900765055178,3034.668157550725,14.328842438443496,12.406541047805165,11.469882255377264,9.864018808625762,2021.0,2030.0,7,2,2,2,3,1,19.8,15.1
ARE,United Arab Emirates,High income,Eastern Mediterranean Region,2021,91.9,8.1,61.4,8.5,10.0,2.1,18.0,5.9,11.34180494172317,2021.0,15.171662414021268,41443.33056242055,15.160825099610207,11.536544330568862,11.917169828272556,11.592401858472007,2021.0,2021.0,3,1,3,3,3,2,14.2,11.8
GBR,United Kingdom of Great Britain and Northern Ireland,High income,European Region,2021,77.7,22.3,43.9,18.9,22.2,7.0,8.0,2.4,9.719985298994011,2021.0,17.479950459340493,58016.74079379185,17.406906199144085,14.089554046311173,13.131453932815901,11.85421465285983,2021.0,2030.0,5,3,2,3,3,3,3.6,2.8
TZA,United Republic of Tanzania,Lower middle income,African Region,2021,80.77,19.23,50.14,22.08,22.88,4.53,0.37,15.8,9.323043861889268,2021.0,14.986449089591783,5071.711738823036,8.451694209183541,12.26061764738197,8.713746330456916,7.607878073278507,2021.0,2030.0,0,3,2,1,2,1,20.3,19.8
USA,United States of America,High income,Region of the Americas,2020,72.2,27.5,64.35,14.37,16.78,2.41,2.09,14.2,15.322235557855288,2020.0,19.43568084637588,81881.0,19.373552704757977,15.937464983804398,15.80146155080675,13.821959717358453,2020.0,2040.0,2,1,2,1,2,2,11.5,12.5
URY,Uruguay,High income,Region of the Americas,2021,79.0,21.0,27.6,51.6,12.2,6.5,2.1,13.0,9.719985298994011,2021.0,14.788368373321484,77212.26643628914,14.328842438443496,12.406541047805165,11.469882255377264,9.864018808625762,2021.0,2030.0,1,3,3,2,3,3,17.1,13.5
UZB,Uzbekistan,Lower middle income,European Region,2021,99.0,1.0,35.25,15.4,24.0,2.5,7.799999999999999,9.3,9.809012024313242,2022.0,14.679231180669698,30510.00001841328,14.328842438443496,12.406541047805165,11.469882255377264,9.864018808625762,2021.0,2022.0,4,1,1,2,1,1,10.4,9.7
VEN,Venezuela (Bolivarian Republic of),,Region of the Americas,2021,79.0,20.74,2.6,3.9,15.3,0.8,77.4,13.2,9.719985298994011,2021.0,14.679231180669698,30510.00001841328,14.328842438443496,12.406541047805165,11.469882255377264,9.864018808625762,2021.0,2030.0,1,1,1,2,3,1,30.5,22.1
VNM,Viet Nam,Lower middle income,Western Pacific Region,2021,80.4,19.6,35.25,57.44,0.0,2.5,7.31,17.7,9.719985298994011,2021.0,18.13770074606749,77310.97650492142,12.968843831703355,18.065626771243902,11.469882255377264,9.864018808625762,2021.0,2030.0,4,1,3,3,2,1,33.4,26.8
YEM,Yemen,Low income,Eastern Mediterranean Region,2021,86.33,13.67,35.25,15.4,24.0,2.5,7.799999999999999,29.8,9.719985298994011,2021.0,14.679231180669698,30510.00001841328,14.328842438443496,12.406541047805165,11.469882255377264,9.864018808625762,2021.0,2030.0,0,1,1,1,3,1,25.4,28.4
ZMB,Zambia,Low income,African Region,2021,79.0,20.74,35.0,5.0,0.0,12.0,48.0,17.1,9.208638925336425,2015.0,13.709246300721682,4617.574220881343,10.239245248219472,8.098034756176071,8.893298144217916,6.501289670540389,2021.0,2026.0,0,2,1,2,3,1,17.7,14.6
ZWE,Zimbabwe,Lower middle income,African Region,2021,86.4,13.6,26.7,10.2,13.7,12.2,37.2,29.9,12.079868627720504,2017.0,16.56470302229524,97727.08003564444,14.328842438443496,12.406541047805165,11.469882255377264,9.864018808625762,2021.0,2030.0,2,1,2,3,2,1,27.0,23.0
